Customer Review,Sentiment,Emotion
alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,1,0
barang bagus dan respon cepat harga bersaing dengan yg lain,1,0
barang bagus berfungsi dengan baik seler ramah pengiriman cepat,1,0
bagus sesuai harapan penjual nya juga ramah trimakasih pelapak ,1,0
barang bagus pengemasan aman dapat berfungsi dengan baik,1,0
barang bagus seller ramah,1,0
mantap paten joss,1,0
works fine respon seller cepat barang berfungsi dengan baik recommended,1,0
barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantabbb,1,0
barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,1,0
pengiriman super cepat barang bagus recommended seller thanks,1,0
alhamdulillah barangnya udah nyampe d coba bagus semoga awet terima kasih seller kurir dan tokopedia,1,0
penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,1,0
alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus,1,0
bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop 16 inch,1,0
packing aman pengiriman cepat dan barang berfungsi dengan baik,1,0
produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overall very good lah ,1,0
barang udah sampai ya gan dan berfungsi terima kasih,1,0
barang mantap sesuai deskripsi laptop jadi adem n sejuk,1,0
produk saya terima dengan kondisi baik terima kasih ,1,0
belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,1,0
kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang 5 terima kasih yah semoga sukses usahanya aamiin ,1,0
mantab barang nya oke punya,1,0
pengiriman cepat packing rapi kualitas mantap,1,0
silent dan bagus untuk pekerjaan ringan,1,0
barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu ,1,0
bagus berkualitas sesuai gbr makasih seller tokped dan kurir,1,0
mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,1,0
mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,1,0
penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu  mantap lah ,1,0
barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,1,0
sangat presisi dan pas,1,0
puas banget seller helpfull sangat responsif dan cepet banget sampai nya recomended,1,0
mantappp responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,1,0
mantap barangnya cepet sampai dan enak digunainnya,1,0
barang bagusoke cepat pengirimannya juga,1,0
pengiriman cepat seller responsif ,1,0
barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan ,1,0
seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,1,0
sangat kecewa baru 4 bulan scroll sudah rusak,0,1
jelek yg pasti jauh dari ori mousepad jd ga bs dipakai kl di charger jd getar parah barang ga sesui foto kayak barang lapak sebelah yg harga 80rban padahal sebelumnya pernah beli disini dan baguspersis spt foto yg ada indikator di ujung charger makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya,0,1
gak bisa di pakai,0,1
kecewa parah nggk berkah jualan gitu,0,1
kecewa penjual ga tanggung jawab komplen berhari gada solusi,0,1
pas beli nanya dulu tipe untuk macbook pro 13inch m1 yang mana di variasi nya kata penjualnya yang new pro 13 pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tanggung jawab,0,1
barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,0,1
kecewa belanja di tempat kamu lain di pesan lain dikirim ,0,1
tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,0,1
salah beli barang tp toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa dehhh,0,1
data sering error dan hilang ,0,1
kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe,0,1
packing seadanya bubble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadaan patah,0,1
mic dari awal ga nyala,0,1
kartu sd nya cuma 2971 gb katanya official tapi malah mksofficial kecewa ini tidak original,0,1
kecepatan tdk sesuai dgn deskripsi,0,1
tidak berfugsi,0,1
mouse kurang bagus  pointer nya gerak gerak sendiri ,0,1
infra red nya jelek suka mental ke mana2,0,1
batre tidak sesuai ukuran dan tidak ada nano receiver,0,1
boros batre,0,1
barang error 1,0,1
jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah,0,1
tdk sesuai ekspektasi,0,1
lambat,0,1
katanya dapat paket 150 gb ternyata setelah di regiatrasi cm 300 mb,0,1
tidak bisa di register call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit,0,1
tidak sesuai,0,1
janji bisa kirim instant segera karena kita mau pakai segera nyatanya anda tutup toko baru di kirim paket sampai malam pas besoknya di coba ternyata ssd nya tidak terbaca dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru sama2 di tangerang ongkos gojek instant 33rb berarti dekat dan tidak di kirim2 sampaiiii 2 minggu baru di kirim sangat terlihat sengaja sekali di lama2in sangat tidak professional dalam berjualan online  anda jual barang rusak pun tidak ada etikat ucapan maaf dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari,0,1
beli 2 ssd 1 diterima dalam kondisi rusak,0,1
tidak berfungsi tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa,0,1
kurang bagus colok hardisk external tdk terdeteksi,0,1
produk kurang baik dan rusak,0,1
untuk kualitas ternyata sama dengan merk china lain 1080p juga yang harga nya 300rb an bahkan lebih bagus merk lain di 600rb an lalu untuk pengiriman lambat sekali dari official store pesan tgl 27 sampai tgl 1 sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa,0,1
pengiriman 2 hari terlambat padahal bilang bakal lgsg dikirim habis order di chat lgsg ga respon utk official store brand segede logitech sungguh mengecewakan,0,1
mousenya kurang responsif jd harus teken agak kuat,0,1
baru pake 2 bulan sensornya udah jelek suka kemana2,0,1
belom 1 bulan udah gak nyala baterai udah diganti tetap saja gak nyala kecewa udah 2x di kerjain logitech,0,1
sangat mengecewakan barang yg dikirim tidak sesuai konfirmasi sampai harus bolakbalik 2 kali saya harus nanggung 6 x ongkos kirimsangat mengecewakan,0,2
kualitas chargeran jelek bangettt baru tiga hari pakai sudah rusakk,0,2
pelayanan toko jelek proses barang lambat di chat tidak menjawab barang ratarata,0,2
barang rusak  ga guna sama sekali  parah,0,2
cepet rusak kadang konek kadang engga,0,2
barang gajelas lama sampai kotak penyok,0,2
setelah dicek tidak utuh 32gb kok bisa ya kemana sisa 3gb nya masmbakrn lagi butuh yaudahlah cukup tau beli disini pertama dan terakhir beli disini,0,2
pesanan saya tidak sampai ke alamat saya mau uang saya kembali saya belum menerima pesanan saya,0,2
beli kemasan baru di kirim kemasan lama  bintang 1 kontl,0,2
anjing ternyata palsu ini barang bangsat2 awas ketipu oi yang asli ada segel distributor nya,0,2
